time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1.62500000,0.01251039,3670,0.00271154,0.00000000,0,0.00000063,2766,3654,1468,0.00000000
1.73000000,0.01056759,3599,0.00221145,0.00000000,0,0.00000055,3654,4476,1375,0.00216192
1.82500000,0.01219066,3668,0.00316014,0.00000000,0,0.00000042,4476,4922,1534,0.00159608
1.93000000,0.00992537,3698,0.00199413,0.00000000,0,0.00000038,4922,5429,1085,0.00233275
2.02500000,0.00987445,3694,0.00290806,0.00000000,0,0.00000047,5429,6000,1374,0.00234073
2.12500000,0.00819489,3697,0.00170802,0.00000000,0,0.00000049,5340,6061,1018,0.00230896
2.23000000,0.01328111,3704,0.00388431,0.00000000,0,0.00000077,6061,6515,1321,0.00218260
2.33000000,0.01278958,3726,0.00312746,0.00000000,0,0.00000069,6515,6727,939,0.00150381
2.42500000,0.01023524,3772,0.00258091,0.00000000,0,0.00000063,6727,7392,1217,0.00217618
2.52500000,0.01165810,3748,0.00247184,0.00000000,0,0.00000093,7392,7491,734,0.00127475
2.63000000,0.01175382,3726,0.00274048,0.00000000,0,0.00000062,7491,7351,601,0.00224239
2.72500000,0.01153683,3766,0.00093856,0.00000000,0,0.00000104,7351,7569,325,0.00237111
2.82500000,0.00981540,3759,0.00146775,0.00000000,0,0.00000076,7569,7663,607,0.00234594
2.92500000,0.00942285,3755,0.00128904,0.00000000,0,0.00000086,7663,7765,471,0.00234796
3.03000000,0.00879089,3801,0.00078307,0.00000000,0,0.00000055,7765,7694,278,0.00214103
3.13000000,0.00829678,3739,0.00101603,0.00000000,0,0.00000050,7694,7870,390,0.00232917
3.23000000,0.00758536,3741,0.00082632,0.00000000,0,0.00000055,7870,7888,350,0.00233148
3.33000000,0.00801090,3736,0.00079719,0.00000000,0,0.00000058,7496,7597,334,0.00218879
3.42500000,0.00821193,3755,0.00057770,0.00000000,0,0.00000043,7597,7741,305,0.00137080
3.52500000,0.00757597,3768,0.00064769,0.00000000,0,0.00000079,7741,7901,286,0.00138343
3.62500000,0.00831242,3775,0.00072173,0.00000000,0,0.00000072,7901,8048,283,0.00146097
3.72500000,0.00776914,3784,0.00031964,0.00000000,0,0.00000049,8048,8107,143,0.00134330
3.82500000,0.00873359,3764,0.00070940,0.00000000,0,0.00000068,8107,8132,252,0.00131002
3.92500000,0.00790407,3790,0.00083109,0.00000000,0,0.00000030,8132,7875,192,0.00147925
4.02500000,0.00813356,3764,0.00047253,0.00000000,0,0.00000056,7875,7919,218,0.00138667
4.12500000,0.01125808,3780,0.00087722,0.00000000,0,0.00000081,7919,8118,251,0.00142458
4.22500000,0.01008965,3728,0.00057899,0.00000000,0,0.00000074,7480,7602,174,0.00146774
4.32500000,0.01011896,3753,0.00079298,0.00000000,0,0.00000070,7602,7714,223,0.00135120
4.43000000,0.01033506,3754,0.00056882,0.00000000,0,0.00000106,7714,7786,148,0.00140071
4.52500000,0.01118386,3734,0.00077855,0.00000000,0,0.00000077,7786,7980,247,0.00220414
4.62500000,0.01106743,3768,0.00075634,0.00000000,0,0.00000083,7980,7886,236,0.00222546
4.72500000,0.01031369,3777,0.00044779,0.00000000,0,0.00000083,7886,7986,179,0.00219544
4.82500000,0.00778638,3729,0.00034519,0.00000000,0,0.00000053,7986,8118,163,0.00142646
4.93000000,0.00830267,3785,0.00024511,0.00000000,0,0.00000054,8118,8214,119,0.00234757
5.02500000,0.00810731,3785,0.00046996,0.00000000,0,0.00000040,8214,8254,211,0.00218700
5.12500000,0.00765774,3775,0.00035683,0.00000000,0,0.00000049,8254,8277,134,0.00232821
5.23000000,0.00807833,3731,0.00048820,0.00000000,0,0.00000058,8277,8309,189,0.00194259
5.32500000,0.00761682,3753,0.00033970,0.00000000,0,0.00000065,8309,8305,109,0.00139239
5.42500000,0.00828129,3799,0.00025936,0.00000000,0,0.00000044,8305,8372,125,0.00136841
5.52500000,0.00740392,3771,0.00034067,0.00000000,0,0.00000057,8372,8430,141,0.00146424
5.62500000,0.00788147,3794,0.00047546,0.00000000,0,0.00000055,8430,8465,179,0.00148764
